,occ_code,occ_title,o_group,tot_emp
24618,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,4390
24619,43-5041,"Meter Readers, Utilities",detailed,830
24620,43-5051,Postal Service Clerks,detailed,2180
24621,43-5052,Postal Service Mail Carriers,detailed,11300
24622,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,2990
24623,43-5061,"Production, Planning, and Expediting Clerks",detailed,8140
24624,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,20740
24625,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,2070
24626,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,12510
24627,43-6012,Legal Secretaries and Administrative Assistants,detailed,2560
24628,43-6013,Medical Secretaries and Administrative Assistants,detailed,13060
24629,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,53130
24630,43-9021,Data Entry Keyers,detailed,4630
24631,43-9022,Word Processors and Typists,detailed,190
24632,43-9031,Desktop Publishers,detailed,100
24633,43-9041,Insurance Claims and Policy Processing Clerks,detailed,4950
24634,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,1380
24635,43-9061,"Office Clerks, General",detailed,84330
24636,43-9071,"Office Machine Operators, Except Computer",detailed,1350
24637,43-9111,Statistical Assistants,detailed,320
24638,43-9199,"Office and Administrative Support Workers, All Other",detailed,6610
24639,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,550
24640,45-2011,Agricultural Inspectors,detailed,300
24641,45-2041,"Graders and Sorters, Agricultural Products",detailed,1260
24642,45-2091,Agricultural Equipment Operators,detailed,490
24643,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,2680
24644,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,640
24645,45-2099,"Agricultural Workers, All Other",detailed,50
24646,45-4021,Fallers,detailed,130
24647,45-4022,Logging Equipment Operators,detailed,1390
24648,45-4023,Log Graders and Scalers,detailed,180
24649,45-4029,"Logging Workers, All Other",detailed,50
24650,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,29260
24651,47-2011,Boilermakers,detailed,240
24652,47-2021,Brickmasons and Blockmasons,detailed,2540
24653,47-2022,Stonemasons,detailed,90
24654,47-2031,Carpenters,detailed,17880
24655,47-2041,Carpet Installers,detailed,340
24656,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,740
24657,47-2043,Floor Sanders and Finishers,detailed,270
24658,47-2044,Tile and Stone Setters,detailed,800
24659,47-2051,Cement Masons and Concrete Finishers,detailed,4880
24660,47-2061,Construction Laborers,detailed,26110
24661,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,1330
24662,47-2072,Pile Driver Operators,detailed,100
24663,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,13640
24664,47-2081,Drywall and Ceiling Tile Installers,detailed,2020
24665,47-2111,Electricians,detailed,19320
24666,47-2121,Glaziers,detailed,1550
24667,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,1160
24668,47-2132,"Insulation Workers, Mechanical",detailed,1080
24669,47-2141,"Painters, Construction and Maintenance",detailed,3590
24670,47-2142,Paperhangers,detailed,180
24671,47-2151,Pipelayers,detailed,3160
24672,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,12820
24673,47-2161,Plasterers and Stucco Masons,detailed,**
24674,47-2171,Reinforcing Iron and Rebar Workers,detailed,410
24675,47-2181,Roofers,detailed,3000
24676,47-2211,Sheet Metal Workers,detailed,3530
24677,47-2221,Structural Iron and Steel Workers,detailed,1570
24678,47-2231,Solar Photovoltaic Installers,detailed,670
24679,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,970
24680,47-3012,Helpers--Carpenters,detailed,1300
24681,47-3013,Helpers--Electricians,detailed,5710
24682,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,120
24683,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,3790
24684,47-3016,Helpers--Roofers,detailed,380
24685,47-3019,"Helpers, Construction Trades, All Other",detailed,940
24686,47-4011,Construction and Building Inspectors,detailed,4720
24687,47-4021,Elevator and Escalator Installers and Repairers,detailed,160
24688,47-4031,Fence Erectors,detailed,440
24689,47-4041,Hazardous Materials Removal Workers,detailed,1440
24690,47-4051,Highway Maintenance Workers,detailed,3860
24691,47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,100
24692,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,1160
24693,47-4090,Miscellaneous Construction and Related Workers,detailed,1080
24694,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed,1190
24695,47-5041,Continuous Mining Machine Operators,detailed,**
24696,47-5044,"Loading and Moving Machine Operators, Underground Mining",detailed,60
24697,47-5051,"Rock Splitters, Quarry",detailed,50
24698,47-5081,Helpers--Extraction Workers,detailed,60
24699,47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,510
24700,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,16850
24701,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,3820
24702,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,660
24703,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,8300
24704,49-2091,Avionics Technicians,detailed,370
24705,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,790
24706,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,**
24707,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,2280
24708,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,890
24709,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,290
24710,49-2097,Audiovisual Equipment Installers and Repairers,detailed,670
24711,49-2098,Security and Fire Alarm Systems Installers,detailed,2110
24712,49-3011,Aircraft Mechanics and Service Technicians,detailed,4400
24713,49-3021,Automotive Body and Related Repairers,detailed,5170
24714,49-3022,Automotive Glass Installers and Repairers,detailed,900
24715,49-3023,Automotive Service Technicians and Mechanics,detailed,24050
24716,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,8450
24717,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,920
24718,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,4390
24719,49-3043,Rail Car Repairers,detailed,170
24720,49-3051,Motorboat Mechanics and Service Technicians,detailed,720
24721,49-3052,Motorcycle Mechanics,detailed,500
24722,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,760
24723,49-3091,Bicycle Repairers,detailed,260
24724,49-3092,Recreational Vehicle Service Technicians,detailed,270
24725,49-3093,Tire Repairers and Changers,detailed,2680
24726,49-9011,Mechanical Door Repairers,detailed,420
24727,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,1920
24728,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,13800
24729,49-9031,Home Appliance Repairers,detailed,690
24730,49-9041,Industrial Machinery Mechanics,detailed,11980
24731,49-9043,"Maintenance Workers, Machinery",detailed,4720
24732,49-9044,Millwrights,detailed,900
24733,49-9051,Electrical Power-Line Installers and Repairers,detailed,4020
24734,49-9052,Telecommunications Line Installers and Repairers,detailed,2900
24735,49-9062,Medical Equipment Repairers,detailed,1500
24736,49-9063,Musical Instrument Repairers and Tuners,detailed,140
24737,49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,370
24738,49-9071,"Maintenance and Repair Workers, General",detailed,45390
24739,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,1190
24740,49-9094,Locksmiths and Safe Repairers,detailed,520
24741,49-9096,Riggers,detailed,470
24742,49-9097,Signal and Track Switch Repairers,detailed,**
24743,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,3700
24744,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,4150
24745,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,21530
24746,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,350
24747,51-2021,"Coil Winders, Tapers, and Finishers",detailed,680
24748,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detailed,8620
24749,51-2031,Engine and Other Machine Assemblers,detailed,860
24750,51-2041,Structural Metal Fabricators and Fitters,detailed,1650
24751,51-2051,Fiberglass Laminators and Fabricators,detailed,730
24752,51-2090,Miscellaneous Assemblers and Fabricators,detailed,55030
24753,51-3011,Bakers,detailed,3960
24754,51-3021,Butchers and Meat Cutters,detailed,2930
24755,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,13320
24756,51-3023,Slaughterers and Meat Packers,detailed,5910
24757,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,960
24758,51-3092,Food Batchmakers,detailed,3620
24759,51-3093,Food Cooking Machine Operators and Tenders,detailed,640
24760,51-3099,"Food Processing Workers, All Other",detailed,1580
24761,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,4540
24762,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,350
24763,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,630
24764,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,5970
24765,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,140
24766,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2420
24767,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,690
24768,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,220
24769,51-4041,Machinists,detailed,11900
24770,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,500
24771,51-4052,"Pourers and Casters, Metal",detailed,130
24772,51-4061,"Model Makers, Metal and Plastic",detailed,90
24773,51-4062,"Patternmakers, Metal and Plastic",detailed,80
24774,51-4071,Foundry Mold and Coremakers,detailed,170
24775,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,7130
24776,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2340
24777,51-4111,Tool and Die Makers,detailed,1290
24778,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,11740
24779,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,880
24780,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,530
24781,51-4192,"Layout Workers, Metal and Plastic",detailed,40
24782,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,1100
24783,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,90
24784,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,500
24785,51-5111,Prepress Technicians and Workers,detailed,710
24786,51-5112,Printing Press Operators,detailed,4860
24787,51-5113,Print Binding and Finishing Workers,detailed,900
24788,51-6011,Laundry and Dry-Cleaning Workers,detailed,5230
24789,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,1100
24790,51-6031,Sewing Machine Operators,detailed,9240
24791,51-6041,Shoe and Leather Workers and Repairers,detailed,220
24792,51-6051,"Sewers, Hand",detailed,60
24793,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,890
24794,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,2020
24795,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,1200
24796,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,4520
24797,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,6750
24798,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,2670
24799,51-6092,Fabric and Apparel Patternmakers,detailed,220
24800,51-6093,Upholsterers,detailed,6090
24801,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,1660
24802,51-7011,Cabinetmakers and Bench Carpenters,detailed,3100
24803,51-7021,Furniture Finishers,detailed,1250
24804,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,3290
24805,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,6660
24806,51-7099,"Woodworkers, All Other",detailed,70
24807,51-8011,Nuclear Power Reactor Operators,detailed,360
24808,51-8013,Power Plant Operators,detailed,580
24809,51-8021,Stationary Engineers and Boiler Operators,detailed,360
24810,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,3460
24811,51-8091,Chemical Plant and System Operators,detailed,730
24812,51-8092,Gas Plant Operators,detailed,140
24813,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,250
24814,51-8099,"Plant and System Operators, All Other",detailed,110
24815,51-9011,Chemical Equipment Operators and Tenders,detailed,2630
24816,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,1780
24817,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,650
24818,51-9022,"Grinding and Polishing Workers, Hand",detailed,820
24819,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,6100
24820,51-9031,"Cutters and Trimmers, Hand",detailed,1270
24821,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,3800
24822,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,3500
24823,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,1130
24824,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,20620
24825,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,390
24826,51-9081,Dental Laboratory Technicians,detailed,1140
24827,51-9082,Medical Appliance Technicians,detailed,250
24828,51-9083,Ophthalmic Laboratory Technicians,detailed,400
24829,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,15120
24830,51-9123,"Painting, Coating, and Decorating Workers",detailed,280
24831,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,4850
24832,51-9141,Semiconductor Processing Technicians,detailed,1910
24833,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,240
24834,51-9161,Computer Numerically Controlled Tool Operators,detailed,2580
24835,51-9162,Computer Numerically Controlled Tool Programmers,detailed,600
24836,51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,800
24837,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,260
24838,51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,200
24839,51-9194,Etchers and Engravers,detailed,50
24840,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,1060
24841,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,4540
24842,51-9197,Tire Builders,detailed,1610
24843,51-9198,Helpers--Production Workers,detailed,13430
24844,51-9199,"Production Workers, All Other",detailed,3560
24845,53-1041,Aircraft Cargo Handling Supervisors,detailed,70
24846,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,15870
24847,53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,2270
24848,53-2012,Commercial Pilots,detailed,1480
24849,53-2021,Air Traffic Controllers,detailed,440
24850,53-2022,Airfield Operations Specialists,detailed,180
24851,53-2031,Flight Attendants,detailed,4310
24852,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,270
24853,53-3031,Driver/Sales Workers,detailed,19850
24854,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,59030
24855,53-3033,Light Truck Drivers,detailed,29080
24856,53-3052,"Bus Drivers, Transit and Intercity",detailed,3330
24857,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",detailed,18280
24858,53-3099,"Motor Vehicle Operators, All Other",detailed,3690
24859,53-4011,Locomotive Engineers,detailed,480
24860,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,**
24861,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,**
24862,53-4031,Railroad Conductors and Yardmasters,detailed,450
24863,53-5011,Sailors and Marine Oilers,detailed,240
24864,53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,430
24865,53-5031,Ship Engineers,detailed,90
24866,53-6011,Bridge and Lock Tenders,detailed,60
24867,53-6021,Parking Attendants,detailed,2990
24868,53-6031,Automotive and Watercraft Service Attendants,detailed,3140
24869,53-6041,Traffic Technicians,detailed,200
24870,53-6051,Transportation Inspectors,detailed,260
24871,53-6061,Passenger Attendants,detailed,260
24872,53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",detailed,740
24873,53-7011,Conveyor Operators and Tenders,detailed,430
24874,53-7021,Crane and Tower Operators,detailed,970
24875,53-7051,Industrial Truck and Tractor Operators,detailed,23530
24876,53-7061,Cleaners of Vehicles and Equipment,detailed,10060
24877,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,95610
24878,53-7063,Machine Feeders and Offbearers,detailed,1690
24879,53-7064,"Packers and Packagers, Hand",detailed,26020
24880,53-7065,Stockers and Order Fillers,detailed,67740
24881,53-7081,Refuse and Recyclable Material Collectors,detailed,6470
24882,53-7199,"Material Moving Workers, All Other",detailed,60
394641,00-0000,All Occupations,total,4462800
